Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer (1-4),Explanation,Difficulty,Subject,Topic
Which of the following is the best example of an activity of daily living impairment-,Preferring to read alone at home,"Difficulty bathing, dressing, and moving about independently",Choosing retirement over employment,Decreased preference for novelty,2,"Activities of daily living refer to essential self-care behaviors such as bathing, dressing, feeding oneself, toileting, and mobility.",medium,Developmental Psychology,Chapter 17: Physical and Cognitive Development in Late Adulthood
Which lifestyle pattern is most likely to promote better health and longevity in late adulthood-,"Sedentary behavior, irregular meals, and social isolation","Smoking cessation, balanced diet, physical activity, and medical adherence",Reliance on unverified supplements instead of medical consultation,Reduced activity to conserve all energy,2,"Health and longevity in late adulthood are strongly influenced by lifestyle patterns, including exercise, nutrition, smoking avoidance, and adherence to treatment.",medium,Developmental Psychology,Chapter 17: Physical and Cognitive Development in Late Adulthood
Which mental and behavioral problem becomes more common in late adulthood and is marked by progressive decline in memory and other cognitive functions severe enough to impair daily life-,Mild distractibility,Dementia,Ordinary forgetfulness,Egocentrism,2,Dementia is marked by progressive cognitive decline severe enough to interfere with independence and everyday functioning.,medium,Developmental Psychology,Chapter 17: Physical and Cognitive Development in Late Adulthood
Which statement best differentiates normal age-related forgetfulness from dementia- more pervasive and functionally significant decline.,Normal forgetfulness always prevents independent living.,Dementia necessarily involves only physical impairment.,"Normal forgetfulness is usually mild and variable, whereas dementia involves more pervasive and functionally significant decline.",There is no meaningful distinction between the two.,3,"A key distinction is impairment severity and effect on everyday functioning. Normal forgetfulness is usually limited, while dementia is broader and more disabling.",medium,Developmental Psychology,Chapter 17: Physical and Cognitive Development in Late Adulthood
Which pattern is most typical of intelligence in late adulthood-,Both fluid and crystallized intelligence increase indefinitely.,Fluid intelligence tends to decline more than crystallized intelligence.,Crystallized intelligence declines earlier and more sharply than fluid intelligence.,Both types disappear at retirement.,2,"Fluid intelligence, which depends on speed, novel reasoning, and mental manipulation, tends to decline more with age than crystallized intelligence, which reflects accumulated knowledge.",medium,Developmental Psychology,Chapter 17: Physical and Cognitive Development in Late Adulthood
Which ability is the best example of fluid intelligence-,Using previously learned vocabulary accurately,Recalling general information acquired over many years,Solving a novel pattern problem under time pressure,Applying culturally learned social conventions,3,"Fluid intelligence involves solving new problems, detecting patterns, and reasoning quickly without relying heavily on prior learning.",medium,Developmental Psychology,Chapter 17: Physical and Cognitive Development in Late Adulthood
Which ability is the best example of crystallized intelligence-,Rapid symbol substitution,Immediate manipulation of unfamiliar visual patterns,Vocabulary and accumulated factual knowledge,Speeded perceptual comparison of meaningless forms,3,"Crystallized intelligence reflects stored knowledge, vocabulary, and culturally acquired information used across life situations.",medium,Developmental Psychology,Chapter 17: Physical and Cognitive Development in Late Adulthood
Which cognitive ability is often especially vulnerable to aging because it depends heavily on speed and mental manipulation of information-,Procedural memory,Working memory,Semantic memory,Implicit memory,2,"Working memory is especially vulnerable because it requires simultaneous storage and manipulation of information, functions that are sensitive to aging and slowing.",medium,Developmental Psychology,Chapter 17: Physical and Cognitive Development in Late Adulthood
Which memory system is most likely to remain relatively preserved in many older adults-,Episodic memory for recent events,Working memory under high load,Procedural memory for well-learned skills,Prospective memory for unfamiliar tasks,3,"Well-learned procedural skills, such as typing or playing familiar music, tend to remain comparatively intact in many older adults.",medium,Developmental Psychology,Chapter 17: Physical and Cognitive Development in Late Adulthood
An older pianist can still play familiar pieces smoothly even though she sometimes forgets recent conversations. Which type of memory is best illustrated by the preserved skill-,Episodic memory,Procedural memory,Sensory memory,Working memory,2,The ability to perform a practiced motor-cognitive skill automatically reflects procedural memory.,medium,Developmental Psychology,Chapter 17: Physical and Cognitive Development in Late Adulthood
Which statement about episodic memory in late adulthood is most accurate- semantic memory.,It always improves because of life experience.,It refers to memory for personal events and is often more vulnerable than semantic memory.,It is identical to procedural memory.,It is unaffected by neural slowing.,2,"Episodic memory concerns personally experienced events and is often more age-sensitive than semantic memory, which stores general knowledge.",medium,Developmental Psychology,Chapter 17: Physical and Cognitive Development in Late Adulthood
Which statement best explains age-related difficulty in word retrieval- available.,Older adults lose all semantic knowledge.,Retrieval problems may occur even when the knowledge itself remains available.,Vocabulary disappears first in late adulthood.,Word retrieval problems show that intelligence has ended.,2,Older adults may know the word but have difficulty retrieving it quickly. This does not necessarily mean the semantic knowledge is lost.,medium,Developmental Psychology,Chapter 17: Physical and Cognitive Development in Late Adulthood
Which statement about wisdom is most accurate- purely a function of chronological age.,Wisdom is guaranteed simply by reaching old age.,Wisdom is identical to processing speed.,Wisdom involves sound judgment about fundamental life matters and is not purely a function of chronological age.,Wisdom declines uniformly after age 65.,3,"Wisdom is not guaranteed by age. It involves reflective judgment, life knowledge, and balanced reasoning about important human problems.",medium,Developmental Psychology,Chapter 17: Physical and Cognitive Development in Late Adulthood
Which situation best illustrates wisdom-,Finishing a symbol-coding task faster than younger adults,"Offering balanced, realistic advice about a complex life dilemma",Repeating eight digits forward,Recalling a grocery list without error,2,"Wisdom is best shown in practical judgment about life problems involving uncertainty, values, and long-term consequences.",medium,Developmental Psychology,Chapter 17: Physical and Cognitive Development in Late Adulthood
A psychologist is assessing an 82-year-old client with hearing loss. Which practice is most appropriate in interpreting the results- affected test performance.,Ignore the sensory impairment because standardized scores are objective.,Consider sensory limitations and other situational factors that may have affected test performance.,Release only raw scores so the family can interpret them independently.,Use any convenient photocopied test materials to save time.,2,"Ethical interpretation requires considering validity, appropriateness, and factors such as hearing loss that may distort observed performance, especially in older adults.",medium,Developmental Psychology,Chapter 17: Physical and Cognitive Development in Late Adulthood
A psychometrician is asked to administer and explain a battery of cognitive tests independently in a clinic. Which response is most consistent with ethical and legal limits- registered psychologist when applicable.,"Accept, because psychometricians may always practice independently in all assessment functions.",Accept only if the client agrees verbally.,Perform the work within RA 10029 boundaries and under the supervision of a registered psychologist when applicable.,Decline all test-related work because psychometricians cannot administer tests.,3,The PAP Code of Ethics states that psychometricians practice within RA 10029 boundaries and under the supervision of a registered psychologist when applicable. This is a core legal-ethical limit.,medium,Developmental Psychology,Chapter 17: Physical and Cognitive Development in Late Adulthood
"A practitioner plans to disclose an older client's test results to the client's daughter, who was not the referral source. What is the best ethical action- mandated.",Release the results immediately because relatives automatically have access.,Release only the raw scores.,Obtain proper written permission unless disclosure is otherwise legally mandated.,Refuse all explanation under any circumstances.,3,"Assessment results are confidential and should be released only to authorized parties, typically with written permission when disclosure is not otherwise mandated by law.",medium,Developmental Psychology,Chapter 17: Physical and Cognitive Development in Late Adulthood
"During assessment of an older adult with suspected cognitive decline, the practitioner uses nontechnical language when explaining findings to the family. This is primarily an application of:",Test obsolescence,Appropriate communication of assessment results,Negative reinforcement,Role diffusion,2,"The ethical standard requires findings to be explained in nontechnical language when communicating results to relatives, parents, or teachers.",medium,Developmental Psychology,Chapter 17: Physical and Cognitive Development in Late Adulthood
Which action best reflects protection of confidentiality in late-adult assessment-,Storing records in a shared device accessible to office staff not involved in the case,Discussing the case with friends to obtain informal opinions,Securing records and limiting disclosure to authorized and appropriate parties,Posting anonymized but recognizable details on social media for consultation,3,"Confidentiality requires safeguarding records physically and digitally and limiting access and disclosure to qualified, authorized persons.",medium,Developmental Psychology,Chapter 17: Physical and Cognitive Development in Late Adulthood
A psychometrician is asked to use an outdated cognitive test with old norms on a culturally different older client. What is the best response- current norms,Use it anyway because any test is better than none,Use it but omit reservations in the report,"Avoid relying on obsolete tests and consider appropriateness, validity, and current norms",Replace it with an internet quiz,3,"Ethical assessment requires current, valid, reliable, and population-appropriate tests. Obsolete instruments and outdated norms can mislead interpretation.",medium,Developmental Psychology,Chapter 17: Physical and Cognitive Development in Late Adulthood
"Which statement best reflects the ethical principle of boundaries of competence when working with late-adult clients- supervised experience, and professional competence.",A practitioner may assess any condition as long as the client is elderly.,"A practitioner should work only within areas supported by education, training, supervised experience, and professional competence.",Competence depends mainly on years since licensure.,Referral is unethical because it shows weakness.,2,"Boundaries of competence require practitioners to provide services only within areas supported by appropriate education, training, supervised experience, consultation, and professional background.",medium,Developmental Psychology,Chapter 17: Physical and Cognitive Development in Late Adulthood
An older adult client with probable dementia cannot fully provide informed consent. Which action is most ethical- obtain permission from a legally authorized person when required,Proceed without explanation because the client is elderly,"Provide an appropriate explanation, seek assent, consider best interests, and obtain permission from a legally authorized person when required",Cancel all services automatically,Let any available relative decide without further documentation,2,"For individuals who are legally incapable of full informed consent, ethics requires explanation, assent when possible, attention to best interests, and substitute permission when required by law.",medium,Developmental Psychology,Chapter 17: Physical and Cognitive Development in Late Adulthood
Which assessment scenario most clearly shows the need to interpret results cautiously- internet connectivity during teleassessment,"The client is healthy, rested, and using a well-standardized instrument appropriate to the population",The client has severe hearing difficulty during verbal testing and unstable internet connectivity during teleassessment,The client completed informed consent in writing,The client arrived early for testing,2,Both hearing difficulty and unstable internet connectivity can threaten validity and require careful qualification of conclusions in assessment.,medium,Developmental Psychology,Chapter 17: Physical and Cognitive Development in Late Adulthood
Which statement best reflects a board-relevant understanding of cognitive aging- preservation or compensation in others.,All older adults experience the same rate and pattern of decline.,"Cognitive aging is highly variable, with losses in some processes but preservation or compensation in others.",Intelligence in late adulthood cannot be trained or improved in any way.,Any memory complaint indicates dementia.,2,"A sound view of cognitive aging recognizes heterogeneity: some processes decline, some remain relatively intact, and some losses are offset by compensation, expertise, or training.",medium,Developmental Psychology,Chapter 17: Physical and Cognitive Development in Late Adulthood
"Which integrated conclusion is most accurate regarding late adulthood- reserve capacity, health behavior, chronic illness burden, environmental supports, and cognitive plasticity.",Late adulthood is defined mainly by unavoidable and global deterioration.,"Late adulthood includes biological decline, but outcomes are shaped by reserve capacity, health behavior, chronic illness burden, environmental supports, and cognitive plasticity.",Lifestyle no longer matters once a person reaches old age.,Cognitive functioning depends only on heredity in late adulthood.,2,"Late adulthood involves real biological changes, but functioning depends on multiple interacting factors, including reserve capacity, lifestyle, disease burden, supports, and retained plasticity.",medium,Developmental Psychology,Chapter 17: Physical and Cognitive Development in Late Adulthood
"An 82-year-old woman says, ""My life was imperfect, but it had meaning, and I accept both my choices and my limits."" Which psychosocial outcome is best illustrated-",Generativity,Ego integrity,Identity achievement,Learned helplessness,2,"Ego integrity refers to accepting one's life as meaningful and coherent despite imperfections and losses. In late adulthood, this is the favorable resolution of Erikson's final psychosocial stage.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
Which statement best reflects Erikson's view of wisdom in late adulthood- death.,It is the ability to memorize many life events accurately.,It is acceptance of one's life without major regret and with readiness to face death.,It is the tendency to avoid emotional involvement in order to reduce suffering.,It is the capacity to remain physically independent until death.,2,"Erikson described wisdom in late adulthood as acceptance of one's life, including its limitations, and acceptance of mortality. It is tied to successful resolution of ego integrity versus despair.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
"According to Erikson, despair in late adulthood is most likely when an older adult:",Reflects on the past and integrates both gains and losses,Maintains social ties and meaningful activity,Feels that life was wasted and cannot be relived differently,Uses selective optimization with compensation,3,"Despair arises when an older adult looks back with bitterness, regret, or a sense that life has been wasted and cannot be changed. This contrasts with integrity, which accepts the life one has lived.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
Which statement is most accurate regarding personality in late adulthood-,Personality becomes completely fixed after middle adulthood.,All older adults become less conscientious as they age.,Personality shows both continuity and potential for change in late life.,Personality traits lose all predictive value for health in old age.,3,"Research on personality in later adulthood supports relative stability along with meaningful change. Traits remain informative, but late life is not a period of complete personality rigidity.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
A researcher concludes that an older adult's conscientiousness is associated with better medication adherence and healthier daily routines. This finding best supports the idea that:,personality traits are unrelated to health behaviors,cognitive decline fully explains health outcomes in late life,personality can be an important predictor of health and well-being,social class is the only determinant of healthy aging,3,"Traits such as conscientiousness influence health behaviors, including adherence to treatment and routine self-care. Thus personality can meaningfully predict health outcomes in old age.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
Which pattern has been commonly reported in studies of personality change across adulthood into late life-,Increases in neuroticism and decreases in agreeableness are universal,Declines in neuroticism and increases in agreeableness are often observed,Extraversion sharply increases in all adults after age 70,Openness inevitably increases in the oldest-old,2,"Studies commonly report normative trends such as lower neuroticism and greater agreeableness across adulthood, though change varies by person and measure.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
"An older adult cannot change the fact that his spouse has died, so he joins a bereavement support group and uses prayer to manage sadness. This best illustrates:",Problem-focused coping only,Emotion-focused coping,Maladaptive denial,Behavioral disengagement theory,2,"Because the death of a spouse cannot be reversed, the person regulates emotional distress through support and prayer. That is emotion-focused coping.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
"A 70-year-old woman whose pension was suddenly delayed creates a budget, contacts the pension office, and seeks legal assistance. Her response is best described as:",Emotion-focused coping,Problem-focused coping,Ego despair,Compensatory disengagement,2,"She actively tries to solve the stressor by budgeting, making contact with the agency, and seeking legal assistance. That is problem-focused coping.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
Which statement best distinguishes problem-focused coping from emotion-focused coping- emotion-focused coping manages the emotional response,Problem-focused coping regulates feelings; emotion-focused coping removes the stressor,Problem-focused coping attempts to manage the source of stress; emotion-focused coping manages the emotional response,Problem-focused coping is used only by younger adults; emotion-focused coping only by older adults,Problem-focused coping is always superior to emotion-focused coping,2,This is the standard distinction between the two coping styles. One targets the stressor; the other targets distress.,medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
Which statement about religion and spirituality in late adulthood is most accurate- adults,They are uniformly unrelated to health and well-being,They may serve as important emotion-focused coping resources for many older adults,They are useful only for institutionalized older adults,They prevent all forms of grief and depression,2,"Religion and spirituality often provide meaning, comfort, and emotional regulation in late adulthood. They may support health and well-being for many older persons.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
Which statement best reflects a major criticism of the concept of successful aging- aging well,It ignores all forms of social support,It is easy to define and measure consistently across all populations,It may unfairly exclude older adults with illness or disability from being seen as aging well,It is based solely on Erikson's theory,3,"A major criticism of successful aging is that narrow definitions can privilege health and independence so strongly that people with illness, disability, or structural disadvantage are overlooked.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
Which statement is most consistent with disengagement theory- aging,Older adults age best when they maintain previous roles as much as possible,Mutual withdrawal between the aging person and society is a natural part of aging,Productivity is unrelated to adaptation in late adulthood,Successful aging depends mainly on technological adaptation,2,"Disengagement theory proposes that aging involves a gradual, mutual withdrawal of the older person and society. It is an early theory and has limited support.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
Which statement is most consistent with activity theory-,Older adults adjust best when they remain socially and psychologically engaged,Aging successfully requires withdrawal from former commitments,Reduced activity always improves emotional stability,Social roles become irrelevant in late adulthood,1,Activity theory argues that continued participation in meaningful roles and activities supports better adaptation and satisfaction in late life.,medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
Continuity theory proposes that older adults adapt best when they: life,Abandon earlier habits and create entirely new identities,"Maintain patterns of behavior, values, and relationships that connect with earlier life",Withdraw from emotionally demanding roles,Depend primarily on institutions instead of family,2,"Continuity theory emphasizes adaptation through preserving internal and external patterns from earlier life, rather than abandoning one's previous way of living.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
"A 79-year-old retired teacher with arthritis can no longer lead whole-day community seminars, so she chooses shorter sessions, focuses on topics she knows best, and uses slides and an assistant. This best illustrates:",Disengagement,Selective optimization with compensation,Ego despair,Identity diffusion,2,"She selects priority goals, optimizes strengths, and compensates for limitations by using aids and assistance. This is a textbook example of SOC.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
Which example best illustrates selective optimization with compensation in late adulthood- performance,Giving up all goals after the onset of chronic illness,Choosing fewer important goals and using aids or strategies to maintain performance,Avoiding all social contact to conserve energy,Replacing family ties with isolation,2,"Selective optimization with compensation means focusing on valued goals, maximizing remaining abilities, and offsetting losses through strategies or supports.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
Which statement about work in late adulthood is most accurate- matter more than age alone,Older adults are uniformly less productive than younger workers,Age differences in work performance are usually more important than individual differences,"Many older adults remain productive at work, and individual differences often matter more than age alone",Retirement always improves psychological adjustment,3,"Later-life work performance is shaped by health, motivation, experience, job fit, and context. Age alone is a poor basis for broad conclusions about productivity.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
Which statement best describes retirement as a developmental process- resources,It is a single event with the same meaning for everyone,It is always involuntary and harmful,"It often unfolds gradually and is shaped by personal, social, and economic resources",It eliminates role loss because family roles fully replace work roles,3,"Retirement is best viewed as a process, not merely an event. Its effects depend on finances, health, social roles, voluntariness, and preparation.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
Which older adult is most likely to experience positive adjustment to retirement-,One who had no nonwork interests and was forced out unexpectedly,"One with adequate finances, social support, and meaningful postretirement roles",One who equates self-worth solely with paid employment and has no savings,One who completely withdraws from former networks,2,"Positive retirement adjustment is more likely when older adults have resources, supportive ties, and meaningful activities or identities beyond formal work.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
Which statement about financial well-being in late adulthood is most accurate-,Poverty risk in old age is evenly distributed across all groups,Women and some minority groups are at higher risk for poverty in late adulthood,Financial concerns disappear after retirement benefits begin,Income has little relationship to living arrangements in old age,2,Economic vulnerability in old age is not evenly distributed. Women and some historically disadvantaged groups are at greater poverty risk due to cumulative inequality.,medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
"In developed societies, which living arrangement is most common among older adults-",Living in long-term care institutions,Living only with grandchildren,Living with a spouse or living alone,Living in communal monasteries,3,"In many developed societies, most older adults either live with a spouse or live alone, rather than in institutions.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
Which factor most strongly increases the likelihood that an older person will require institutional care or assisted living-,High educational attainment,Severe functional impairment and need for daily assistance,Having adult children,Being married for more than 30 years,2,Institutional or assisted living becomes more likely when an older adult cannot safely manage daily activities independently due to physical or cognitive limitations.,medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
"A social worker observes that an older adult wishes to remain in her own home, using home modifications and digital monitoring devices to support independence. This most directly reflects:",Identity foreclosure,Aging in place,Social disengagement,Role confusion,2,Aging in place refers to remaining in one's home and community with supports that preserve autonomy and safety.,medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
Which situation is the clearest example of elder abuse- silence,An older adult chooses to give money to a grandchild as a birthday gift,A caregiver withholds food and medication and intimidates the older adult into silence,A physician advises hospitalization after a fall,An older adult declines to join family celebrations,2,"This involves neglect, coercion, and psychological abuse. It clearly constitutes elder abuse.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
Which person is most likely to be a perpetrator of elder abuse- abuse,A distant neighbor with no contact,A family member under severe strain with a history of violence or substance abuse,A postal worker delivering pension checks,A retired friend from a religious group,2,"Perpetrators of elder abuse are often family members, especially when caregiver burden, violence history, mental illness, or substance abuse is present.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
"A psychometrician assisting in an older adult assessment discovers signs suggesting financial exploitation by a relative. Under RA 10029 and the PAP Code of Ethics, the most appropriate initial professional response is to: refer or report through proper channels when substantial harm is likely",Ignore the issue because it is outside all professional responsibility,Publicly accuse the relative on social media,"Protect the client, document observations, clarify limits of confidentiality, and refer or report through proper channels when substantial harm is likely",Disclose all details to neighbors for community awareness,3,"Philippine ethical standards emphasize avoiding harm, maintaining confidentiality within proper limits, acting competently, and taking appropriate steps when substantial harm is likely. Under RA 10029 and the PAP Code, the professional should act responsibly through proper channels, not through public accusation or inaction.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
"An older client with possible cognitive impairment is being assessed. Ethically, valid informed consent is best obtained by: obtaining permission from a legally authorized person when required by law",Skipping explanation because the client is old,Using complex technical language to prove seriousness,"Providing an understandable explanation, seeking assent when needed, and obtaining permission from a legally authorized person when required by law",Letting a family member decide without involving the client at all,3,"Ethical practice requires informed consent using understandable language. When legal capacity is impaired, the practitioner still explains the process, seeks the client's assent where possible, and secures substitute permission when legally required.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
A psychometrician is asked to interpret complex neurocognitive findings in an elderly client but lacks training in geriatric assessment. The most ethical action is to:,Proceed anyway to avoid losing the client,Interpret only the easy parts and guess the rest,"Work within competence, seek supervision or consultation, or refer appropriately",Allow an untrained assistant to complete interpretation,3,"RA 10029 and the PAP Code require practice within one's competence. When geriatric assessment exceeds training, consultation, supervision, or referral is ethically required.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
"A son requests the full psychological report of his 76-year-old mother after testing, but the mother has not authorized release and is capable of decision-making. The best ethical response is to: basis",Release the report because family members automatically have access,"Refuse all discussion, including with the client",Protect confidentiality and release information only with proper consent or legal basis,Give only raw scores to the son,3,"Confidentiality belongs to the capable client, not automatically to relatives. Information may be released only with the client's permission or an applicable legal basis.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
Which finding best supports the importance of social relationships in late life-,Older adults no longer need emotionally close ties once retired,Social ties have no relation to loneliness or depression,Good relationships are associated with better health and lower loneliness,Family relationships always matter more than friendships in every situation,3,"Late-life social relationships are strongly linked to psychosocial well-being, with implications for loneliness, depression, and health.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
Which statement best characterizes friendship in late adulthood-,Quantity of friendships is always more important than quality,"Older adults usually value emotionally meaningful, high-quality friendships",Friendships lose importance once people become grandparents,Friendships are mainly useful for financial support,2,"In late life, emotionally meaningful and high-quality friendships often matter more than simply having many friends.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
Which statement best explains why widowhood is often a major developmental challenge in late adulthood-,It affects only men and not women,"It is unrelated to health, mortality, or living arrangements","It can disrupt identity, companionship, daily routines, and emotional security",It usually improves all family relationships immediately,3,"Widowhood is a major psychosocial transition because it affects attachment, roles, identity, routine, and social support. It may also affect health and mortality risk.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
Which older adult is at greatest risk for severe adjustment problems following widowhood-,"A person with strong support, stable income, and gradual anticipatory preparation",A person whose spouse died unexpectedly and who has limited social support,A person living with several supportive adult children,A person with active community involvement and good health,2,Unexpected loss combined with weak support increases risk for poor adjustment after widowhood.,medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
Which statement about divorce and remarriage in late adulthood is most accurate- demands,Divorce never occurs in later life,Later-life divorce has increased and may create financial and social adjustment demands,Remarriage in later life is impossible after widowhood,Divorce in later life has no implications for adult children,2,"Divorce in later adulthood is not absent and has become more common. It can require major adaptation in finances, living arrangements, and family roles.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
Which statement best describes parent-child relationships in late adulthood- emotional or practical support,Older parents usually sever ties with adult children to preserve autonomy,"Parent-child bonds often remain strong, and adult children may provide emotional or practical support",Adult children become irrelevant once parents retire,Childlessness guarantees social isolation,2,"Relationships with adult children often remain central in old age, serving emotional, instrumental, and intergenerational functions.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
Which statement about sibling relationships in late adulthood is most accurate- identity,Sibling ties become unimportant compared with all other relationships,"Siblings may be significant sources of continuity, support, and shared family identity",Only brothers influence well-being in late life,Sibling loss is usually emotionally trivial in old age,2,"Siblings can be especially important in late life because they share history, identity, and family memory, and may provide support.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
Which statement best describes the psychosocial significance of multigenerational family ties in late adulthood-,They are mainly sources of conflict and rarely sources of meaning,"They can provide continuity, support, and opportunities for generativity",They eliminate the need for friendships,They matter only in collectivist societies,2,"Multigenerational ties can help older adults maintain meaning, family continuity, and investment in future generations.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
An elderly gay man living with his long-term partner reports fear that hospital staff may exclude him from decisions if his partner becomes ill. This concern most directly reflects: and bereavement issues,The absence of any legal or social barriers for older sexual minorities,"The possibility that discrimination can complicate support, health care access, and bereavement issues",A normal sign of ego despair only,Evidence that close relationships do not protect well-being,2,"Older sexual minorities may face barriers in health care, visitation, decision-making, inheritance, and bereavement when discrimination persists or when relationships are not fully recognized.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
"Which board-relevant principle is best illustrated when a psychology practitioner uses clear, age-appropriate language, checks comprehension, and protects privacy during teleconsultation with an older client-","Respect for dignity, informed consent, and confidentiality",Test security only,Financial transparency only,Social desirability reduction only,1,"Using understandable language, checking comprehension, and protecting privacy reflects core ethical principles: respect for dignity, valid informed consent, and confidentiality, including in telepsychology contexts.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
"A psychology practitioner notices that a frail older client becomes increasingly confused during a lengthy online interview because of fatigue and hearing difficulty. The most ethical next step is to: communication supports, or rescheduling as needed",Continue quickly so the schedule will not be disrupted,End the interaction without documentation,"Modify procedures to reduce harm, such as shortening sessions, improving communication supports, or rescheduling as needed",Ask an unqualified family member to finish the assessment,3,"Ethical practice requires avoiding harm and adjusting methods to the client's condition. For older adults with fatigue or hearing problems, the practitioner should modify procedures to preserve validity and client welfare.",medium,Developmental Psychology,Chapter 18: Psychosocial Development in Late Adulthood
Death is best understood as which of the following- dimensions,A purely biological event with little social relevance,"A phenomenon with biological, social, cultural, legal, psychological, and ethical dimensions",A medical failure that should always be prevented,A uniform experience interpreted similarly across cultures,2,"Death is not merely a biological event. It also has social, cultural, historical, religious, legal, psychological, developmental, medical, and ethical meanings, making this the most complete and accurate answer.",medium,Developmental Psychology,Chapter 19: Dealing with Death and Bereavement
Which statement best describes the mortality revolution- life,Death became more common in early childhood than in late adulthood,Infectious diseases replaced chronic diseases as the leading causes of death,"Death rates dropped markedly, and death became concentrated more in later life",Funeral rituals disappeared as life expectancy increased,3,"The mortality revolution refers to the historical decline in death rates, especially in developed societies, which shifted death from a common early-life event to one more concentrated in late adulthood.",medium,Developmental Psychology,Chapter 19: Dealing with Death and Bereavement
"In many modern societies, death became less visible primarily because:",people stopped grieving for loved ones,death increasingly occurred in institutions and under professional care,religion completely lost influence on mourning practices,families became unwilling to discuss illness of any kind,2,"Death became less visible in modern societies because many dying persons were cared for in hospitals and other institutions, making death more removed from ordinary family life.",medium,Developmental Psychology,Chapter 19: Dealing with Death and Bereavement
The field that systematically studies death and dying is known as:,Gerontology,Thanatology,Nosology,Ethology,2,Thanatology is the systematic study of death and dying and is directly associated with efforts to understand end-of-life processes more realistically and compassionately.,medium,Developmental Psychology,Chapter 19: Dealing with Death and Bereavement
Hospice care is best described as:,aggressive curative treatment for terminal illness,patient- and family-centered care for a person with a terminal illness,a legal process for refusing treatment,hospitalization intended to prolong life indefinitely,2,"Hospice care focuses on compassionate, patient- and family-centered support for a terminally ill person, emphasizing comfort, dignity, and quality of life.",medium,Developmental Psychology,Chapter 19: Dealing with Death and Bereavement
Palliative care primarily aims to:,cure terminal illness through experimental treatment,relieve pain and suffering while preserving comfort and dignity,determine whether a client is mentally competent,delay grief reactions among family members,2,"Palliative care aims to reduce suffering and improve comfort and dignity, not necessarily to cure disease. It is central to humane end-of-life care.",medium,Developmental Psychology,Chapter 19: Dealing with Death and Bereavement
Which statement best differentiates hospice care from curative care-,Hospice care focuses on quality of life rather than reversing disease,Hospice care is only for patients in intensive care units,Hospice care excludes family participation,Hospice care is identical to emergency psychiatric intervention,1,"Hospice care prioritizes comfort, dignity, and quality of life for people unlikely to benefit from curative medical intervention.",medium,Developmental Psychology,Chapter 19: Dealing with Death and Bereavement
